Nom,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,Photo,Adresse,Latitude,Longitude,Id,Vérifié
Le Perchoir,,18:00-1:30,18:00-1:30,18:00-1:30,18:00-1:30,18:00-1:30,,le-perchoir-1_4519918.jpg (https://dl.airtable.com/BW550vXgTkCiJFtUHm5W_le-perchoir-1_4519918.jpg),"14 Rue Crespin du Gast, 75011 Paris",48.8654558,2.3798288,68,checked
Le Perchoir Marais,,,20:15-1:30,20:15-1:30,20:15-1:30,20:15-1:30,,7556-LE-PERCHOIR-MARAIS.jpg (https://dl.airtable.com/qlbwHXm5ThSGPyM7Npkl_7556-LE-PERCHOIR-MARAIS.jpg),37 rue de la Verrerie 75004 Paris,48.8574997,2.351725,69,checked
The Fifth,17:00-2:00,17:00-2:00,17:00-2:00,17:00-2:00,17:00-4:00,17:00-4:45,17:00-2:45,fifth.jpg (https://dl.airtable.com/Emwog2O4RVGvL03LNRNe_fifth.jpg),"62 Rue Mouffetard, 75005 Paris",48.8430266,2.3473318,71,checked
Point Éphémère,12:30-2:00,12:30-2:00,12:30-2:00,12:30-2:00,12:30-2:00,12:30-2:00,12:30-22:00,pointephemere.jpg (https://dl.airtable.com/DbxlhJKSoqN4dp0gNk7b_pointephemere.jpg),"200 Quai de Valmy, 75010 Paris",48.8812785,2.3661533,73,checked
The Frog at Bercy Village,7:30-1:00,7:30-1:00,7:30-1:00,7:30-2:00,8:00-3:00,8:00-3:00,8:00-1:00,frogbercy.jpg (https://dl.airtable.com/E6efODdFSXC7a8i9jp39_frogbercy.jpg),"Bercy Village, 25 Cour Saint-Emilion, 75012 Paris",48.8330618,2.3838574,74,checked
Les Caves Alliées,,17:00-2:00,17:00-2:00,17:00-2:00,17:00-2:00,14:00-2:00,,cavesalliees.jpg (https://dl.airtable.com/oEyfDTLTqGySvYMpwcdw_cavesalliees.jpg),"44 Rue Grégoire de Tours, 75006 Paris",48.8518914,2.3352134,75,checked
Café Chéri,17:00-2:00,17:00-2:00,17:00-2:00,17:00-2:00,17:00-2:00,11:00-2:00,,cafecherie.jpg (https://dl.airtable.com/oxLaueVTAiOuSfY6le8w_cafecherie.jpg),"44 Boulevard de la Villette, 75019 Paris",48.8537428,2.2743967,76,checked
AbracadaBar,18:00-2:00,18:00-2:00,18:00-2:00,18:00-5:00,18:00-5:00,18:00-2:00,18:00-2:00,abracadabar.jpg (https://dl.airtable.com/X8pO20ZhTBQqxVL52xno_abracadabar.jpg),"123 Avenue Jean Jaurès, 75019 Paris",48.8861027,2.3799669,77,checked
Pavillon Puebla,,,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,12:00-20:00,pavillonpuebla.jpg (https://dl.airtable.com/X6Z6xkLTgiWMg0Qz0inQ_pavillonpuebla.jpg),"Parc des Buttes Chaumont, Avenue Darcel, 75019 Paris",48.8772435,2.3771103,78,checked
Mo'Town,10:00-02:00,10:00-02:00,10:00-02:00,10:00-02:00,10:00-02:00,10:00-02:00,10:00-02:00,motown.jpg (https://dl.airtable.com/NTj8Pt2fT5C3f2Hp0nn0_motown.jpg),"116 Boulevard de Ménilmontant, 75020 Paris",48.8657165,2.3824747,79,checked
